Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_votedfor: OWUO 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 30 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 60 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_votedfor: BIG MAMA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 12 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 6 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment failed., Amount_Billed: 6 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_votedfor: SITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: MD 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_votedfor: ANITA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_votedfor: MAMA ZIMBY 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_votedfor: BIG MAMA 
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_votedfor: BIG MAMA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 1.2 , Contestant_votedfor: BIG MAMA 
Description: The MTN Mobile Money payment failed., Amount_Billed: 1.2 , Contestant_votedfor: MAMA ZIMBY 
