Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BB , with_vote: 100, new_vote : 478.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SHOE , with_vote: 1000, new_vote : 1169.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: CEE BABY , with_vote: 100, new_vote : 237.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 951.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 701.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: MAAME , with_vote: 200, new_vote : 911.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 688.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 888.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 938.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 988.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAME , with_vote: 50, new_vote : 1034.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAME , with_vote: 20, new_vote : 1054.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 709.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAME , with_vote: 10, new_vote : 1064.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 1248.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1929.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAME , with_vote: 50, new_vote : 1383.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: SUZZY , with_vote: 10, new_vote : 683.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BB , with_vote: 100, new_vote : 846.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MERCY , with_vote: 100, new_vote : 484.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 1171.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAME , with_vote: 50, new_vote : 1481.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: GAZA , with_vote: 200, new_vote : 1324.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: GAZA , with_vote: 200, new_vote : 1530.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAME , with_vote: 10, new_vote : 1518.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SHOE , with_vote: 1000, new_vote : 2227.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: SUZZY , with_vote: 20, new_vote : 723.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 2190.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SHOE , with_vote: 500, new_vote : 2749.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 1170.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 1225.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OLOBO , with_vote: 200, new_vote : 1651.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 1310.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: DEDE , with_vote: 20, new_vote : 1330.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MERCY , with_vote: 500, new_vote : 1071.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: DEDE , with_vote: 20, new_vote : 1350.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 1400.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: CEE BABY , with_vote: 100, new_vote : 352.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: AMA BA , with_vote: 10, new_vote : 550.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 3095.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 3118.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAME , with_vote: 20, new_vote : 1807.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: KASI , with_vote: 100, new_vote : 214.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAGA , with_vote: 20, new_vote : 2047.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 1074.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAFIA , with_vote: 50, new_vote : 1587.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: KASI , with_vote: 100, new_vote : 329.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AMA BA , with_vote: 50, new_vote : 770.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: AMA BA , with_vote: 20, new_vote : 848.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: AMA BA , with_vote: 10, new_vote : 883.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 550.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: AMA BA , with_vote: 2, new_vote : 891.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 753.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: AMA BA , with_vote: 2, new_vote : 925.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: CEE BABY , with_vote: 200, new_vote : 563.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KATE , with_vote: 200, new_vote : 921.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 1932.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: CEE BABY , with_vote: 100, new_vote : 666.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SUZZY , with_vote: 500, new_vote : 1589.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAME , with_vote: 50, new_vote : 1915.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: SUZZY , with_vote: 100, new_vote : 1689.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: SUZZY , with_vote: 50, new_vote : 1739.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: SHOE , with_vote: 10, new_vote : 2846.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: SUZZY , with_vote: 10, new_vote : 1749.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 2015.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: SITA , with_vote: 20, new_vote : 1428.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: EDINA , with_vote: 20, new_vote : 1020.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MERCY , with_vote: 50, new_vote : 1758.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: DEDE , with_vote: 20, new_vote : 2047.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: DEDE , with_vote: 10, new_vote : 2058.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: EDINA , with_vote: 100, new_vote : 1139.<br/>
