Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1195.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: OWUO , with_vote: 100, new_vote : 441.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAMA ZIMBY , with_vote: 50, new_vote : 344.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: BIG MAMA , with_vote: 50, new_vote : 120.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAMA ZIMBY , with_vote: 20, new_vote : 364.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAMA ZIMBY , with_vote: 20, new_vote : 384.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAMA ZIMBY , with_vote: 10, new_vote : 394.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: MAMA ZIMBY , with_vote: 2, new_vote : 396.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 486.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: SITA , with_vote: 50, new_vote : 536.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: MD , with_vote: 200, new_vote : 864.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAMA ZIMBY , with_vote: 50, new_vote : 446.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAMA ZIMBY , with_vote: 20, new_vote : 466.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAMA ZIMBY , with_vote: 10, new_vote : 476.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1404.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: MAMA ZIMBY , with_vote: 2, new_vote : 478.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: BIG MAMA , with_vote: 2, new_vote : 124.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: BIG MAMA , with_vote: 2, new_vote : 126.<br/>
