Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: DEDE , with_vote: 20, new_vote : 4737.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: PM , with_vote: 100, new_vote : 19432.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: PM , with_vote: 100, new_vote : 19623.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 4955.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 2094.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: GAZA , with_vote: 2, new_vote : 18891.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 17371.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 19905.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: GAZA , with_vote: 2, new_vote : 19911.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 5177.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 20969.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 17455.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MAAFIA , with_vote: 50, new_vote : 17521.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: MERCY , with_vote: 200, new_vote : 1655.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 22580.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 21614.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 21619.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: GAZA , with_vote: 10, new_vote : 22750.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: GAZA , with_vote: 500, new_vote : 23269.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAZA , with_vote: 20, new_vote : 23414.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: GAZA , with_vote: 500, new_vote : 23915.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: GAZA , with_vote: 50, new_vote : 23968.<br/>
